i,release_ns,start_ns,finish_ns,response_us,exec_cpu_us,miss
352,3418600000000,3418613065208,3418654468619,54468.619,15000.336,1
353,3418650000000,3418654476363,3418676042548,26042.548,15003.600,0
354,3418700000000,3418700059652,3418734339324,34339.324,15000.312,0
355,3418750000000,3418750014110,3418777598406,27598.406,15000.408,0
356,3418800000000,3418800011565,3418841585404,41585.404,15000.584,0
357,3418850000000,3418850055393,3418875149126,25149.126,15000.456,0
358,3418900000000,3418913015774,3418954122701,54122.701,15000.464,1
359,3418950000000,3418955145775,3418975213712,25213.712,15000.520,0
360,3419000000000,3419011388645,3419051792885,51792.885,15000.304,1
361,3419050000000,3419052003958,3419075671814,25671.814,15000.416,0
362,3419100000000,3419112011224,3419149682549,49682.549,15000.320,0
363,3419150000000,3419154451019,3419175611689,25611.689,15000.360,0
364,3419200000000,3419212009646,3419255401231,55401.231,15000.320,1
365,3419250000000,3419255414566,3419274686999,24686.999,15000.368,0
366,3419300000000,3419313525579,3419356186807,56186.807,15000.480,1
367,3419350000000,3419356200094,3419377104453,27104.453,15000.272,0
368,3419400000000,3419412034481,3419452352591,52352.591,15000.304,1
369,3419450000000,3419456004458,3419477185878,27185.878,15000.440,0
370,3419500000000,3419511374620,3419550710398,50710.398,15000.376,1
371,3419550000000,3419552004621,3419574763524,24763.524,15000.448,0
372,3419600000000,3419613237010,3419649275952,49275.952,15000.520,0
373,3419650000000,3419651866212,3419675516862,25516.862,15000.496,0
374,3419700000000,3419700036914,3419724192872,24192.872,15000.664,0
375,3419750000000,3419750870056,3419771117813,21117.813,15000.464,0
376,3419800000000,3419804008757,3419835091164,35091.164,15000.336,0
377,3419850000000,3419852134918,3419880947841,30947.841,15000.288,0
378,3419900000000,3419900011441,3419935552290,35552.290,15000.448,0
379,3419950000000,3419950056492,3419976352902,26352.902,15000.304,0
380,3420000000000,3420000181035,3420063514798,63514.798,15000.472,1
381,3420050000000,3420063589793,3420119600815,69600.815,15000.432,1
382,3420100000000,3420124016597,3420157354383,57354.383,15000.360,1
383,3420150000000,3420160033029,3420204864179,54864.179,15000.400,1
384,3420200000000,3420207334280,3420249961309,49961.309,15000.280,0
385,3420250000000,3420252026526,3420280593707,30593.707,15000.296,0
386,3420300000000,3420304026579,3420340087184,40087.184,15000.336,0
387,3420350000000,3420352005190,3420374196964,24196.964,15000.368,0
388,3420400000000,3420413072886,3420450057355,50057.355,15000.400,1
389,3420450000000,3420452004508,3420476312800,26312.800,15000.608,0
390,3420500000000,3420513032311,3420554124679,54124.679,15000.400,1
391,3420550000000,3420554139438,3420576014850,26014.850,15000.392,0
392,3420600000000,3420612035546,3420649438722,49438.722,15000.400,0
393,3420650000000,3420652004032,3420676389366,26389.366,15000.344,0
394,3420700000000,3420708024086,3420742565820,42565.820,15000.512,0
395,3420750000000,3420750019352,3420777552516,27552.516,15000.640,0
396,3420800000000,3420813022242,3420855533184,55533.184,15000.296,1
397,3420850000000,3420855554814,3420875780453,25780.453,15000.544,0
398,3420900000000,3420912006143,3420956326511,56326.511,15000.400,1
399,3420950000000,3420956345910,3420976575916,26575.916,15000.424,0
400,3421000000000,3421012006285,3421068257547,68257.547,15000.392,1
401,3421050000000,3421068268834,3421089858290,39858.290,15000.504,0
402,3421100000000,3421107262132,3421147197516,47197.516,15000.392,0
403,3421150000000,3421150511703,3421176773731,26773.731,15000.432,0
404,3421200000000,3421208061843,3421250842166,50842.166,15000.808,1
405,3421250000000,3421251455787,3421276392979,26392.979,15000.376,0
406,3421300000000,3421308029635,3421350612420,50612.420,15000.368,1
407,3421350000000,3421351306644,3421376481667,26481.667,15000.352,0
408,3421400000000,3421408030705,3421450332310,50332.310,15000.408,1
409,3421450000000,3421452006602,3421476061111,26061.111,15000.368,0
410,3421500000000,3421512015795,3421549474680,49474.680,15000.512,0
411,3421550000000,3421552005600,3421575904824,25904.824,15000.352,0
412,3421600000000,3421608077867,3421633230227,33230.227,15000.488,0
413,3421650000000,3421650057293,3421674083468,24083.468,15000.328,0
414,3421700000000,3421704015402,3421724151199,24151.199,15000.280,0
415,3421750000000,3421752007884,3421772371665,22371.665,15000.448,0
416,3421800000000,3421800040260,3421824104752,24104.752,15000.440,0
417,3421850000000,3421850008461,3421871119918,21119.918,15000.624,0
418,3421900000000,3421900027771,3421931147446,31147.446,15000.408,0
419,3421950000000,3421952047814,3421987777646,37777.646,15000.288,0
420,3422000000000,3422004035019,3422050048839,50048.839,15000.368,1
421,3422050000000,3422050120170,3422095730929,45730.929,15000.392,0
422,3422100000000,3422108075363,3422193469097,93469.097,15000.320,1
423,3422150000000,3422208138419,3422242972662,92972.662,15000.384,1
424,3422200000000,3422244005103,3422280133513,80133.513,15000.504,1
425,3422250000000,3422284011455,3422326895305,76895.305,15000.504,1
426,3422300000000,3422327889293,3422366888370,66888.370,15000.368,1
427,3422350000000,3422368894392,3422417220166,67220.166,15000.392,1
428,3422400000000,3422428014409,3422458249048,58249.048,15000.328,1
429,3422450000000,3422467413587,3422483154131,33154.131,15000.640,0
430,3422500000000,3422524013209,3422551340518,51340.518,15000.344,1
431,3422550000000,3422551365332,3422571543221,21543.221,15000.776,0
432,3422600000000,3422600060568,3422627083395,27083.395,15000.360,0
433,3422650000000,3422650009535,3422676946319,26946.319,15000.504,0
434,3422700000000,3422708080455,3422745228491,45228.491,15000.584,0
435,3422750000000,3422750084302,3422775575994,25575.994,15000.304,0
436,3422800000000,3422809136260,3422853210317,53210.317,15000.784,1
437,3422850000000,3422853221380,3422875637218,25637.218,15000.456,0
438,3422900000000,3422912667574,3422942351522,42351.522,15000.384,0
439,3422950000000,3422953047060,3422975854640,25854.640,15000.520,0
440,3423000000000,3423011326263,3423039545711,39545.711,15000.320,0
441,3423050000000,3423053621762,3423075986947,25986.947,15000.400,0
442,3423100000000,3423113069484,3423157249798,57249.798,15000.400,1
443,3423150000000,3423160060581,3423181688809,31688.809,15000.352,0
444,3423200000000,3423216387605,3423251425546,51425.546,15000.400,1
445,3423250000000,3423256015359,3423278043184,28043.184,15000.368,0
446,3423300000000,3423313018297,3423342250508,42250.508,15000.488,0
447,3423350000000,3423353679332,3423377700245,27700.245,15000.528,0
448,3423400000000,3423413032733,3423449591881,49591.881,15000.448,0
449,3423450000000,3423451812785,3423475726321,25726.321,15000.360,0
450,3423500000000,3423511373052,3423551399443,51399.443,15000.488,1
451,3423550000000,3423556017190,3423579142835,29142.835,15000.456,0
452,3423600000000,3423600060201,3423636243399,36243.399,15000.384,0
453,3423650000000,3423652063170,3423676998244,26998.244,15000.280,0
454,3423700000000,3423704015350,3423734594197,34594.197,15000.448,0
455,3423750000000,3423755498411,3423791973021,41973.021,15000.448,0
456,3423800000000,3423808943097,3423863652873,63652.873,15000.464,1
457,3423850000000,3423864020887,3423919318838,69318.838,15000.536,1
458,3423900000000,3423932050421,3424013418480,113418.480,15000.480,1
459,3423950000000,3424013522345,3424050966192,100966.192,15000.288,1
460,3424000000000,3424051744003,3424110997451,110997.451,15000.720,1
461,3424050000000,3424124848485,3424181185997,131185.997,15000.496,1
462,3424100000000,3424187119189,3424241282650,141282.650,15000.312,1
463,3424150000000,3424242336458,3424279785105,129785.105,15000.288,1
464,3424200000000,3424281353070,3424312494998,112494.998,15000.400,1
465,3424250000000,3424313490010,3424353603722,103603.722,15000.360,1
466,3424300000000,3424362271079,3424380849125,80849.125,15000.328,1
467,3424350000000,3424385192251,3424409298542,59298.542,15000.512,1
468,3424400000000,3424409770141,3424454072039,54072.039,15000.304,1
469,3424450000000,3424459604867,3424479943384,29943.384,15000.288,0
470,3424500000000,3424513034122,3424549070811,49070.811,15000.408,0
471,3424550000000,3424552003562,3424575381102,25381.102,15000.432,0
472,3424600000000,3424617008959,3424653050407,53050.407,15000.728,1
473,3424650000000,3424655577529,3424688568202,38568.202,15000.376,0
474,3424700000000,3424700495696,3424746544314,46544.314,15000.312,0
475,3424750000000,3424750017052,3424775682627,25682.627,15000.296,0
476,3424800000000,3424813039545,3424848053631,48053.631,15000.272,0
477,3424850000000,3424852004112,3424872023907,22023.907,15000.568,0
478,3424900000000,3424904032959,3424925604672,25604.672,15000.360,0
479,3424950000000,3424950009686,3424978302705,28302.705,15000.496,0
480,3425000000000,3425011374597,3425048391089,48391.089,15000.400,0
481,3425050000000,3425053402258,3425077203089,27203.089,15000.352,0
482,3425100000000,3425100016109,3425131091809,31091.809,15000.472,0
483,3425150000000,3425150320266,3425177427511,27427.511,15000.456,0
484,3425200000000,3425216018136,3425253105920,53105.920,15000.424,1
485,3425250000000,3425254131713,3425277349601,27349.601,15000.472,0
486,3425300000000,3425312007048,3425351266019,51266.019,15000.400,1
487,3425350000000,3425352273694,3425376103115,26103.115,15000.520,0
488,3425400000000,3425408053060,3425450350831,50350.831,15000.328,1
489,3425450000000,3425452005949,3425475698452,25698.452,15000.400,0
490,3425500000000,3425508007644,3425549757100,49757.100,15000.376,0
491,3425550000000,3425552005434,3425575499383,25499.383,15000.392,0
